t,j,m,price
2011/2012,11100000,USA,0.091897
2011/2012,11111000,USA,0.094505
2011/2012,11112110,USA,0.088018
2011/2012,11112210,USA,0.089206
2011/2012,11113000,USA,0.088424
2011/2012,11114300,USA,0.190547
2011/2012,11114320,USA,0.191187
2011/2012,11114330,USA,0.191187
2011/2012,11114350,USA,0.190805
2011/2012,11115000,USA,0.302781
2011/2012,11115100,USA,0.164598
2011/2012,11115200,USA,0.202687
2011/2012,11115300,USA,0.183312
2011/2012,11116000,USA,0.415648
2011/2012,11121300,USA,0.011687
2011/2012,11210050,USA,0.294224
2011/2012,11211050,USA,0.262291
2011/2012,11212050,USA,0.328876
2011/2012,11220000,USA,0.358871
2011/2012,11320000,USA,0.161115
2011/2012,11320100,USA,0.129499
2011/2012,11320200,USA,0.129499
2011/2012,11321000,USA,0.169961
2011/2012,11350000,USA,0.160109
2011/2012,11350010,USA,0.177798
2011/2012,11410000,USA,0.669788
2011/2012,11411010,USA,0.563881
2011/2012,11411100,USA,0.398249
2011/2012,11411200,USA,0.422659
2011/2012,11411300,USA,0.499548
2011/2012,11420000,USA,0.470545
2011/2012,11421000,USA,0.51371
2011/2012,11422000,USA,0.437965
2011/2012,11422100,USA,0.382088
2011/2012,11423000,USA,0.523112
2011/2012,11424000,USA,0.382088
2011/2012,11427000,USA,0.184971
2011/2012,11430000,USA,0.473943
2011/2012,11431000,USA,0.561702
2011/2012,11432000,USA,0.423192
2011/2012,11432500,USA,0.523558
2011/2012,11433000,USA,0.555317
2011/2012,11433500,USA,0.381298
2011/2012,11446000,USA,NA
2011/2012,11460000,USA,0.435949
2011/2012,11460160,USA,0.27658
2011/2012,11460170,USA,0.315179
2011/2012,11460250,USA,0.513734
2011/2012,11460300,USA,0.244015
2011/2012,11460410,USA,0.643944
2011/2012,11480010,USA,0.9772
2011/2012,11480020,USA,0.77838
2011/2012,11511000,USA,0.229817
2011/2012,11511100,USA,0.205839
2011/2012,11511200,USA,0.2334
2011/2012,11511300,USA,0.10993
2011/2012,11511400,USA,0.134892
2011/2012,11512000,USA,0.129848
2011/2012,11512510,USA,0.455439
2011/2012,11513100,USA,0.14407
2011/2012,11513150,USA,0.137379
2011/2012,11513200,USA,0.145644
2011/2012,11513500,USA,0.128438
2011/2012,11513550,USA,0.122118
2011/2012,11513600,USA,0.129925
2011/2012,11513700,USA,0.122051
2011/2012,11514100,USA,0.126789
2011/2012,11514300,USA,0.077401
2011/2012,11516000,USA,0.145974
2011/2012,11519040,USA,0.249206
2011/2012,11519050,USA,0.158461
2011/2012,11519105,USA,0.213319
2011/2012,11519200,USA,0.160035
2011/2012,11519205,USA,0.151588
2011/2012,11526000,USA,0.168993
2011/2012,11526000,USA,0.172456
2011/2012,11526000,USA,0.16574
2011/2012,11531000,USA,0.264038
2011/2012,11531500,USA,0.209316
2011/2012,11541120,USA,0.475288
2011/2012,11542100,USA,1.154374
2011/2012,11542200,USA,1.092649
2011/2012,11551050,USA,0.510693
2011/2012,11553000,USA,0.510693
2011/2012,11560000,USA,0.152852
2011/2012,11561000,USA,NA
2011/2012,11710000,USA,NA
2011/2012,11710056,USA,0.805338
2011/2012,11710350,USA,0.63287
2011/2012,11710351,USA,0.742113
2011/2012,11710353,USA,0.482135
2011/2012,11710354,USA,0.630966
2011/2012,11710355,USA,0.647201
2011/2012,11710356,USA,0.647201
2011/2012,11710357,USA,0.482491
2011/2012,11710358,USA,0.511749
2011/2012,11710359,USA,0.511749
2011/2012,11710371,USA,NA
2011/2012,11710377,USA,0.505012
2011/2012,11710378,USA,0.53414
2011/2012,11710379,USA,0.53414
2011/2012,11710471,USA,0.835263
2011/2012,11710479,USA,0.650347
2011/2012,11710639,USA,0.537233
2011/2012,11710644,USA,NA
2011/2012,11710646,USA,NA
2011/2012,11710647,USA,NA
2011/2012,11710648,USA,NA
2011/2012,11710649,USA,NA
2011/2012,11710651,USA,NA
2011/2012,11710654,USA,0.980777
2011/2012,11710656,USA,0.997039
2011/2012,11710657,USA,0.120893
2011/2012,11710658,USA,0.150151
2011/2012,11710659,USA,0.150151
2011/2012,11710664,USA,0.526819
2011/2012,11710669,USA,0.55599
2011/2012,11710671,USA,0.678609
2011/2012,11710677,USA,0.535565
2011/2012,11710678,USA,0.564736
2011/2012,11710679,USA,0.564736
2011/2012,11710681,USA,0.553729
2011/2012,11710687,USA,0.318724
2011/2012,11710689,USA,0.347852
2011/2012,11710699,USA,0.417566
2011/2012,11710800,USA,0.698591
2011/2012,11710801,USA,0.698591
2011/2012,11710911,USA,0.677828
2011/2012,11710913,USA,0.368381
2011/2012,11710917,USA,0.368652
2011/2012,11710918,USA,0.397824
2011/2012,11710919,USA,0.397824
2011/2012,11710929,USA,0.640078
2011/2012,11710967,USA,0.55815
2011/2012,11710968,USA,0.587451
2011/2012,11710969,USA,0.587451
2011/2012,11720317,USA,0.518228
2011/2012,11720318,USA,0.547356
2011/2012,11720319,USA,0.547356
2011/2012,11720416,USA,0.647201
2011/2012,11720418,USA,0.545893
2011/2012,11720419,USA,0.545893
2011/2012,11720430,USA,0.93179
2011/2012,11720615,USA,0.668135
2011/2012,11720617,USA,0.481982
2011/2012,11740311,USA,0.995319
2011/2012,11740329,USA,0.859071
2011/2012,11810000,USA,0.125823
2011/2012,11811000,USA,0.750497
2011/2012,11830100,USA,0.921063
2011/2012,11830110,USA,1.057972
2011/2012,11830120,USA,1.143788
